"Treatment","SOM","TC","EGRSP","TGRSP","TN","Moisture"
"Control",58.83,45.06,0.40176,3.119,0.81,47.88
"Control",60.42,45.48,0.50656,3.882125,0.79,36.12
"Control",60.24,46.03,0.32652,2.694,0.82,41.63
"Control",60.44,45.81,0.4854,3.455,0.81,39.68
"Control",57.55,43.43,0.6009,3.126375,0.78,35.7
"EBPR",58.27,42.56,0.2801,2.705,0.76,47.26
"EBPR",59.79,45.37,0.37452,3.4425,0.79,44.88
"EBPR",60.14,45.19,0.3011,3.846,0.77,41.2
"EBPR",59,43.18,0.30492,3.07825,0.76,43.57
"EBPR",59.09,42.75,0.3366,2.8635,0.74,38.68
"Vermont",57.98,45.15,0.4809,3.058,0.82,39.37
"Vermont",58.33,43.82,0.4434,2.878,0.84,37.9
"Vermont",55.3,43.28,0.5979,4.558,0.83,49.32
"Vermont",58.45,44.02,0.34212,3.128,0.81,33.72
"Vermont",57.05,43.16,0.5544,2.818,0.81,37.45
"AMF",59.49,44.43,0.3796,5.166,0.83,37.96
"AMF",55.37,41.72,0.47712,3.88325,0.73,54.35
"AMF",52.05,39.57,0.20888,4.417,0.74,42.23
"AMF",56.26,41.47,0.2966,3.77775,0.77,47.48
"AMF",59.95,45.54,0.39776,4.1985,0.82,38.37
"EBPR_AMF",56.75,41.84,0.39615,3.41075,0.78,43.03
"EBPR_AMF",50.72,37.11,0.27053,2.4475,0.63,36.35
"EBPR_AMF",56.35,42.29,0.28938,3.14775,0.75,42.32
"EBPR_AMF",57.81,43.21,0.35084,2.535,0.78,34.79
"EBPR_AMF",56.12,41.19,0.32265,2.1225,0.75,49.54
"Vermont_AMF",55.94,43.7,0.2694,3.62725,0.83,37.94
"Vermont_AMF",56.33,42.9,0.25284,4.0145,0.8,45.35
"Vermont_AMF",59.32,45.32,0.31965,5.49325,0.85,36.41
"Vermont_AMF",54.28,41.3,0.17289,3.9465,0.83,51.59
"Vermont_AMF",58.96,44.98,0.33315,4.298,0.81,42.63
